donor_description,height,weight,eye_color,hair_color,skin_tone,education_level,education_field,ethnic_background,religion,occupation,interests_hobbies,source,generation_timestamp
"Doctor & Baker. always goes out of his way to do the right thing and help others, especially with their health. You might say that’s why he’s so dedicated to earning his degree as a Doctor of Pharmacy (3.99 GPA). Outside of his professional life, he enjoys many fascinating hobbies: learning to play the harmonium, gardening, and classic literature. With wavy, dark hair, this handsome donor also shows he cares by cooking and baking for others — skills he learned from his mother and grandmother.",5'9 (175cm),173 lbs (78kg),Brown,Dark Brown,,Postgraduate,Pharmacy,East Indian,Hindu,,,original,
"Trilingual Techie. views life as a gift. He comes from a large family and appreciates the close connections that he has with his relatives and lifelong friends. This MBA grad is grateful to his parents for everything they did for him and is devoted to caring for them. He makes the most out of each day by learning new things and exploring. Fluent in Hindi and Gujarati, he loves listening to songs in those languages. This software engineering manager enjoys building robots and reading, but also likes to stay active playing sports like cricket, golf, soccer, tennis, and doing yoga.. Kunal Nayyar Kumail Nanjiani",5'10 (178cm),189 lbs (86kg),Black,Black,,Master,"Business, Finance, Information Systems and Mgmt",East Indian,Hindu,,,original,
"Tri-Lingual Cutie. Outgoing and sociable, loves getting to spend time with his family and friends, whether playing sports, watching movies, or even traveling. This tri-lingual cutie with deep brown eyes stays in good shape and is always nicely dressed. He’s currently attending school to become a therapist, a perfect occupation for someone with his passion for helping others and zest for learning. Very dedicated to his studies, all his hard work paid off when he was accepted into his Master’s program, one of his proudest accomplishments to date.. Ahsan Khan Naveen Andrews",5'9 (175cm),182 lbs (83kg),Brown,Dark Brown,,Master,"Philosophy, Psychology",East Indian,Presbyterian,,,original,
"The Organizer. is the friend you want to take on vacation to make sure everyone sticks to the plan. Detail oriented and orderly, he will make sure everything is in place and everyone is on time. He loves to cook and enjoys watching shows that inspire him to be a better chef. Always with a good book in hand, a well thought out plan and the will power to follow through, this donor is reliable and dependable to the people in his life. He may not be the life of the party, but he will make sure it is smashing success – and that there are plenty of coasters to go around.. A.R. Rahman Sachin Tendulkar",5'11 (180cm),180 lbs (82kg),Brown,Black,,Postgraduate,Electrical Engineering,East Indian,Islam,,,original,
"What’s Brewing?. Great with his hands and full of positive energy, is perfectly suited for a career in hotel management. With warm brown eyes and wry smile, he’s an extremely friendly and outgoing guy, who has great respect and admiration for his family. He enjoys volleyball, cooking – and especially loves home-brewing beer! As a compassionate and caring individual, he is a great listener and tries to never pass up a great conversation.. Maulik Pancholy Danny Pudi",5'9 (175cm),147 lbs (67kg),Brown,Black,,Bachelor,Hospitality Management,East Indian,,,,original,
"Multilingual Marvel. Thanks to his friendly manner, big-hearted love of animals, and fluency in English, Arabic, Hindi, Bengali, and Urdu, finds it easy to make friends wherever in the world he roams. Growing up in Southeast Asia, was encouraged to pursue his passion for sports and academics, areas in which he excels today here in the U.S. Inspired by his intense interest in math, science, and technology, this adventurous app developer is finishing his BS in computer science with a 3.8 GPA.",5'10 (178cm),175 lbs (79kg),Brown,Black,,Bachelor,Computer Science,East Indian,,,,original,
"Family-Oriented. Sweet, polite, and funny, is proud to declare how much he loves his mother. A good-looking, 6’2” math whiz who can speak four languages, this three-sport athlete has found time to travel to Japan, Singapore, and India. He counts traveling among his favorite hobbies, and is very close to his family. He appreciates the love and attention his family gave him, and now works hard to return the favor and make his family proud.. Humayun Saeed M Night Shyamalan",6'2 (188cm),209 lbs (95kg),Brown,Black,,Bachelor,Business Management,East Indian,Islam,,,original,
"Caring Computer Whiz. lives by the motto, “Be kind to others, as you never know what battles someone is facing.” With a BS in computer engineering, this computer whiz has worked as a tech support and implementation engineer. He's athletic too, and loves getting outside, away from his computer, to run, hike and even skydive once — “I’m not doing it again!” Of East Indian descent, he has straight black hair, kind brown eyes and an omnipresent smile. He spends his downtime playing video games with friends and loves a good pun!",5'5 (165cm),135 lbs (61kg),Brown,Black,,Bachelor,Computer Engineering,East Indian,,,,original,
"Chill Social Worker. Strikingly handsome with a smile that lights up a room, is the guy at parties who goes out of his way to make newcomers feel welcome. A real people person, his outgoing nature, vibrant personality, and profound sense of empathy are a perfect fit for his career as a social worker. With an M.S. in Social Work in hand, he has dedicated his life to helping those in need. His slim, athletic build comes from years of practicing martial arts, specifically Muay Thai and Wing Chun.",5'9 (175cm),166 lbs (75kg),Black,Black,,Master,"Biological Sciences, Social Work",East Indian,Buddhism,,,original,
"Smart and Sweet. Close with his family and eager to succeed, is a delightful young man. An outstanding engineering student with excellent math and mechanical skills, he is focused on remaining tied to his Indian heritage through cricket, home cooked meals, and music and movies from India. His goal is to complete his education in the US and return to India to reopen his father's factory. Honest and straight-forward, he has worked hard to become a man his family can be proud of after being something of a difficult teenager.. Aziz Ansari",5'9 (175cm),153 lbs (69kg),Brown,Black,,Master,Civil Engineering,East Indian,Hindu,,,original,
Outgoing Optimist,5'9 (175cm),143 lbs (65kg),Brown,Dark Brown,,Master,Biotechnology,East Indian,Hindu,,,original,
"Always Smiling. Friendly and social, is a staff favorite because of his positive attitude and unflappable optimism. Coming from a family of engineers, he studied engineering and earned a master’s degree in information systems. This analyst enjoys his job because he feels like he’s making an impact. Being an extrovert, he likes to collaborate and work on large teams. When he’s not busy working, he enjoys going to museums, listening to music, and dancing. He also plans to take acting classes again. He says that music and art fuel his soul. Soccer is another passion of his, he played on his university’s team and never misses watching a Manchester United game.",5'9 (175cm),145 lbs (66kg),Brown,Black,,Master,"Chemical Engineering, Computer Info Systems",East Indian,Jain,,,original,
"The Jungle Book. is a certifiable genius. Even though he has a Master’s degree in computer science and works as a software developer, he has also spent a lot of his time helping biologists analyze DNA samples from wild bats in foreign jungles. To collect the samples, he traveled to multiple countries and spent time in some of the most remote jungles in the world. Perhaps even more interesting, this computer science whiz’s Master’s thesis was an algorithm that shed light on artificial intelligence, and his findings were world-renowned. He is a witty, charming guy who complements his intelligence with a wonderful personality, to boot—he can talk to anyone about anything, and his laugh is infectious.. Shah Rukh Khan Irrfan Khan",5'10 (178cm),152 lbs (69kg),Black,Black,,Master,"Computer Science, Information Systems and Mgmt",East Indian,,,,original,
"Contagious Laugh. As a kid, this basketball enthusiast spent hours in meditative thought – not that you would guess it from how talkative he is now! With his contagious laugh and knack for public speaking, it’s no wonder that this chemistry major envisions himself becoming a professor someday. Bilingual in English and Hindi, this amateur bodybuilder prides himself on his forward-thinking sense of style. While he has already traveled the world solo, hopes to backpack around Europe in the near future.. Aamir Khan (actor) Ajmal Ameer",5'10 (178cm),190 lbs (86kg),Brown,Black,,Bachelor,Chemistry,East Indian,,,,original,
Intellectually Curious,5'7 (170cm),157 lbs (71kg),Brown,Black,,Master,"Criminal Justice, Information Systems and Mgmt",East Indian,Islam,,,original,
"Bollywood Dreamer. A popular teen model, this trilingual (English/Hindi/Telugu) software engineer grew up to be a charming, Bollywood movie-star handsome man. Not surprisingly, his beautiful raven-black hair, gentle brown eyes, and sweet smile—along with his serious acting chops, mad dancing skills, and dreamy deep voice— have led him to roles in several short films and two feature films. Gifted athletically, excels at everything from ping pong and hockey to football, and his favorite sport, cricket.",5'10 (178cm),200 lbs (91kg),Brown,Black,,Master,Business,East Indian,Hindu,,,original,
"Adventurous Linguist. Meet , a very successful software engineer with a strong sense of self and discipline. He came to the U.S. from India to attain his master’s degree and believes in giving 100% of himself into everything he does. stays true to his Jainism beliefs and maintains a vegetarian diet and has never tried alcohol. Outside of his regimented lifestyle, he enjoys traveling with family, trying new (and spicy) food, and dabbles in art. Did we mention he knows how to speak four languages?",5'6 (168cm),164 lbs (74kg),Brown,Black,,Master,Computer Science,East Indian,Jain,,,original,
"Health Enthusiast Engineer. has thick black hair and cute dimples that are always showing since he's constantly smiling. An engineer with an M.S. in computer science, he describes himself as fun-loving, patient, and humble. He's committed to fitness, both mental and physical, and does high intensity training multiple times a week. In his downtime, you’ll find this donor playing with his beloved pets. In fact, he’s such an animal lover that he once caught a venomous snake in a village, then brought it to the forest and set it free!",5'9 (175cm),195 lbs (88kg),Black,Black,,Master,"Computer Science, Hospitality Management",East Indian,Roman Catholic,,,original,
"Quadrilingual Architect. loves his career as an architect. He’s had a lifelong creative streak and drawing has always been a favorite pastime, from doodling to designing buildings! This smart cookie has an M.S. in architecture (3.7 GPA) and can even speak four languages fluently. To stay in shape, he enjoys tennis, yoga, and weightlifting. He also enjoys quality time in the great outdoors, such as hiking or strolling through parks. With doe eyes and an empathetic personality, he’s as caring as he is handsome!",5'10 (178cm),162 lbs (73kg),Black,Dark Brown,,Master,Architecture,East Indian,Hindu,,,original,
"Optimistic Engineer. It takes a special person to move to a new country alone, get a master’s in computer science, and become a successful data engineer — and that’s exactly what did. Of East Indian descent, he has curly black hair, high cheekbones, and a warm smile. He speaks three languages (English, Hindi, and Punjabi), loves singing and writing poetry, and stays active with cricket and soccer. He has an unwavering positive outlook, and dreams of one day spreading a message of unity to the world.",5'9 (175cm),168 lbs (76kg),Black,Black,,Master,"Computer Info Systems, Computer Science",East Indian,Sikh,,,original,
"The Perfect Formula. Smart is an understatement when describing. He’s pursuing his second master’s degree and graduated with first class honors in economics. This dark-haired wiz has his dazzling obsidian eyes set on a PhD in math, but he likes to play piano in his free time. ’s friends would describe him as humble and easygoing and he keeps healthy by swimming or running. A true humanitarian, he goes out of his way to be helpful, particularly fellow students in, you guessed it, math!",5'8 (173cm),157 lbs (71kg),Black,Black,,Master,"Economics, Mathematics",East Indian,Atheist,,,original,
"Family First PhD. We should probably call this donor “Dr. Donor” since he has a PhD in chemical engineering! describes himself as extremely driven, and that’s an understatement. In addition to his demanding job, he is also a serious athlete who played in the National College Cricket Association. He has thick black hair and beautiful skin, but his smile is the real standout. When he's not working (in biofuels and green energy), this donor focuses on family. He loves his parents so much that he even bought them a house!",5'10 (178cm),191 lbs (87kg),Brown,Black,,Postgraduate,"Bioengineering, Chemical Engineering",East Indian,,,,original,
"Multisport Math Whiz. His smile – so warm and friendly – and those eyes – as dark as obsidian, yet compassionate, with amazingly long, black lashes that just won’t quit – it’s no wonder people are so attracted to. School – especially math - was easy for this handsome, multilingual (English/Hindi) son of a highly accomplished East Indian family. An award-winning student/athlete in college now working as a software engineer, he enjoys cricket, bodybuilding, racing, travel, volunteering, and music.**The pictures provided are meant to represent the interests and/or activities of the donor. These are not photographs of the donor engaging in the activities.**. Aziz Ansari Kumail Nanjiani",5'9 (175cm),175 lbs (79kg),Black,Black,,Bachelor,Electrical Engineering,East Indian,Hindu,,,original,
"A Bengali Brainiac. says he works well under pressure. He came to the U.S. from Bangladesh as a college freshman, graduated with a 4.07 GPA (and Latin honors) in biochemistry/molecular biology, and now has a fellowship researching diabetes and Alzheimer’s. No surprise, considering his dad is a doctor and his mom has her master’s. He loves to travel because it reminds him of how small we are and how vast the world is. He calls himself “talkative,” and enjoys his weekly soccer games, and reading detective novels. He believes that when life gives you lemons, you should make lemonade…and fill the glass half full.",5'10 (178cm),194 lbs (88kg),Brown,Black,,Master,"Biochemistry, Molecular Biology",East Indian,Islam,,,original,
"Typically, typically, the jungle book. is a certifiable genius. even though he has a master’s degree in computer science and works as a software developer, he has also spent a lot of his time helping biologists analyze dna samples from wild bats in foreign jungles. to collect the samples, he traveled to multiple countries and spent time in some of the most remote jungles in the world. perhaps even more interesting, this computer science whiz’s master’s thesis was an algorithm that shed light on artificial intelligence, and his findings were world-renowned. he is a witty, charming guy who complements his intelligence with a wonderful personality, to boot—he can talk to anyone about anything, and his laugh is infectious.. shah rukh khan irrfan khan",5'9 (175cm),152 lbs (69kg),Brown,Black,,Master,Computer Engineering,East Indian,,,,synthetic,1731175358.815369
"The Perfect Formula. Smart is an understatement when describing. He’s pursuing his second master’s degree and graduated with first class honors in economics. This dark-haired wiz has his dazzling obsidian eyes set on a PhD in math, but he prefers to play piano in his free time. ’s friends would describe him as humble and easygoing and he keeps healthy by swimming or running. A true humanitarian, he goes out of his way to be helpful, particularly fellow students in, you guessed it, math!",5'8 (173cm),175 lbs (79kg),Black,Black,,Master,"Computer Info Systems, Computer Science",East Indian,Atheist,,,synthetic,1731175358.8157928
"By nature, family first phd. we should probably call this donor “dr. donor” since he has a phd in chemical engineering! describes himself as extremely driven, and that’s an understatement. in addition to his demanding job, he is also a serious athlete who played in the national college cricket association. he has thick black hair and beautiful skin, but his smile is the real standout. when he's not active (in biofuels and green energy), this donor focuses on family. he is enthusiastic about his parents so much that he even bought them a house!",5'10 (178cm),191 lbs (87kg),Brown,Black,,Postgraduate,Biotechnology,East Indian,,,,synthetic,1731175358.8162801
"For the most part, a bengali brainiac. says he works well under pressure. he came to the u.s. from bangladesh as a college freshman, graduated with a 4.07 gpa (and latin honors) in biochemistry/molecular biology, and now has a fellowship researching diabetes and alzheimer’s. no surprise, considering his dad is a doctor and his mom has her master’s. he adores to travel because it reminds him of how small we are and how vast the world is. he calls himself “talkative,” and adores his weekly soccer games, and reading detective novels. he believes that when life gives you lemons, you should make lemonade…and fill the glass half full.",5'10 (178cm),194 lbs (88kg),Brown,Dark Brown,,Master,"Biochemistry, Molecular Biology",East Indian,Islam,,,synthetic,1731175358.816826
"Overall, typically, the perfect formula. smart is an understatement when describing. he’s pursuing his second master’s degree and graduated with first class honors in economics. this dark-haired wiz has his dazzling obsidian eyes set on a phd in math, but he gravitate towardss to play piano in his free time. ’s friends would describe him as humble and easygoing and he keeps healthy by swimming or running. a true humanitarian, he goes out of his way to be helpful, particularly fellow students in, you guessed it, math!",5'9 (175cm),157 lbs (71kg),Black,Black,,Bachelor,"Economics, Mathematics",East Indian,Atheist,,,synthetic,1731175358.817298
"Characteristically, intellectually curious",5'11 (180cm),157 lbs (71kg),Brown,Black,,Master,Electrical Engineering,East Indian,Islam,,,synthetic,1731175358.817651
"Overall, multilingual marvel. thanks to his friendly manner, big-hearted love of animals, and fluency in english, arabic, hindi, bengali, and urdu, finds it easy to make friends wherever in the world he roams. growing up in southeast asia, was encouraged to pursue his passion for sports and academics, areas in which he excels today here in the u.s. inspired by his intense interest in math, science, and technology, this adventurous app developer is finishing his bs in computer science with a 3.8 gpa.",5'10 (178cm),195 lbs (88kg),Black,Black,,Postgraduate,"Computer Science, Information Systems and Mgmt",East Indian,,,,synthetic,1731175358.818034
"In general, as a person, bollywood dreamer. a popular teen model, this trilingual (english/hindi/telugu) software engineer grew up to be a charming, bollywood movie-star handsome man. not surprisingly, his beautiful raven-black hair, gentle brown eyes, and sweet smile—along with his serious acting chops, mad dancing skills, and dreamy deep voice— have led him to roles in several short films and two feature films. gifted athletically, excels at enotablything from ping pong and hockey to football, and his favorite sport, cricket.",5'10 (178cm),166 lbs (75kg),Brown,Black,,Master,"Bioengineering, Chemical Engineering",East Indian,Hindu,,,synthetic,1731175358.818569
"Characteristically, a bengali brainiac. says he works well under pressure. he came to the u.s. from bangladesh as a college freshman, graduated with a 4.07 gpa (and latin honors) in biochemistry/molecular biology, and now has a fellowship researching diabetes and alzheimer’s. no surprise, considering his dad is a doctor and his mom has her master’s. he is committed about to travel because it reminds him of how small we are and how vast the world is. he calls himself “talkative,” and is dedicated about his weekly soccer games, and reading detective novels. he believes that when life gives you lemons, you should make lemonade…and fill the glass half full.",5'10 (178cm),189 lbs (86kg),Brown,Black,,Master,Computer Science,East Indian,Islam,,,synthetic,1731175358.819179
"Overall, caring computer whiz. lives by the motto, “be kind to others, as you never know what battles someone is facing.” with a bs in computer engineering, this computer whiz has worked as a tech support and implementation engineer. he's athletic too, and is driven about getting outside, away from his computer, to run, hike and even skydive once — “i’m not doing it again!” of east indian descent, he has straight black hair, kind brown eyes and an omnipresent smile. he spends his downtime playing video games with friends and is driven about a excellent pun!",5'9 (175cm),190 lbs (86kg),Black,Black,,Bachelor,Computer Engineering,East Indian,,,,synthetic,1731175358.819687
"Health Enthusiast Engineer. has thick black hair and cute dimples that are always showing since he's constantly smiling. An engineer with an M.S. in computer science, he describes himself as fun-loving, patient, and humble. He's committed to fitness, both mental and physical, and does high intensity training multiple times a week. In his downtime, you’ll find this donor playing with his beloved pets. In fact, he’s such an animal lover that he once caught a venomous snake in a village, then brought it to the forest and set it free!",5'9 (175cm),166 lbs (75kg),Black,Black,,Master,"Computer Science, Information Systems and Mgmt",East Indian,Roman Catholic,,,synthetic,1731175358.820093
"Overall, multilingual marvel. thanks to his friendly manner, big-hearted love of animals, and fluency in english, arabic, hindi, bengali, and urdu, finds it easy to make friends wherever in the world he roams. growing up in southeast asia, was encouraged to pursue his passion for sports and academics, areas in which he excels today here in the u.s. inspired by his intense interest in math, science, and technology, this adventurous app developer is finishing his bs in computer science with a 3.8 gpa.",5'10 (178cm),145 lbs (66kg),Brown,Black,,Master,Computer Science,East Indian,,,,synthetic,1731175358.8204448
"Typically, primarily, what’s brewing?. great with his hands and full of positive energy, is perfectly suited for a career in hotel management. with warm brown eyes and wry smile, he’s an extremely friendly and outgoing guy, who has great respect and admiration for his family. he is devoted about volleyball, cooking – and especially adores home-brewing beer! as a comdevoted and caring individual, he is a great listener and tries to never pass up a great conversation.. maulik pancholy danny pudi",5'9 (175cm),152 lbs (69kg),Brown,Dark Brown,,Bachelor,"Computer Science, Information Systems and Mgmt",East Indian,,,,synthetic,1731175358.821034
"Primarily, a bengali brainiac. says he works well under pressure. he came to the u.s. from bangladesh as a college freshman, graduated with a 4.07 gpa (and latin honors) in biochemistry/molecular biology, and now has a fellowship researching diabetes and alzheimer’s. no surprise, considering his dad is a doctor and his mom has her master’s. he adores to travel because it reminds him of how small we are and how vast the world is. he calls himself “talkative,” and adores his weekly soccer games, and reading detective novels. he believes that when life gives you lemons, you should make lemonade…and fill the glass half full.",5'10 (178cm),168 lbs (76kg),Brown,Black,,Master,"Computer Info Systems, Computer Science",East Indian,Islam,,,synthetic,1731175358.821514
"Multisport Math Whiz. His smile – so warm and friendly – and those eyes – as dark as obsidian, yet comdedicated, with amazingly long, black lashes that just won’t quit – it’s no wonder people are so attracted to. School – especially math - was easy for this handsome, multilingual (English/Hindi) son of a highly accomplished East Indian family. An award-winning student/athlete in college now pursuing a career as a software engineer, he takes pleasure in cricket, bodybuilding, racing, travel, volunteering, and music.**The pictures provided are meant to represent the interests and/or activities of the donor. These are not photographs of the donor engaging in the activities.**. Aziz Ansari Kumail Nanjiani",5'9 (175cm),175 lbs (79kg),Brown,Black,,Master,Electrical Engineering,East Indian,Hindu,,,synthetic,1731175358.8219562
"By nature, for the most part, family-oriented. sweet, polite, and funny, is proud to declare how much he is motivated about his mother. a impressive-looking, 6’2” math whiz who can speak four languages, this three-sport athlete has found time to travel to japan, singapore, and india. he counts traveling among his favorite hobbies, and is especially close to his family. he appreciates the love and attention his family gave him, and now works hard to return the favor and make his family proud.. humayun saeed m night shyamalan",6'2 (188cm),209 lbs (95kg),Brown,Black,,Master,Computer Engineering,East Indian,Islam,,,synthetic,1731175358.8224661
"By nature, the organizer. is the friend you want to take on vacation to make sure eparticularlyone sticks to the plan. detail oriented and orderly, he will make sure eparticularlything is in place and eparticularlyone is on time. he is driven about to cook and takes pleasure in watching shows that inspire him to be a better chef. always with a exceptional book in hand, a well thought out plan and the will power to follow through, this donor is reliable and dependable to the people in his life. he may not be the life of the party, but he will make sure it is smashing success – and that there are plenty of coasters to go around.. a.r. rahman sachin tendulkar",5'10 (178cm),180 lbs (82kg),Brown,Black,,Postgraduate,Electrical Engineering,East Indian,Islam,,,synthetic,1731175358.822975
"By nature, typically, in general, intellectually curious",5'7 (170cm),157 lbs (71kg),Brown,Black,,Master,Computer Science,East Indian,Islam,,,synthetic,1731175358.8233259
"Contagious Laugh. As a kid, this basketball enthusiast spent hours in meditative thought – not that you would guess it from how talkative he is now! With his contagious laugh and knack for public speaking, it’s no wonder that this chemistry major envisions himself becoming a professor someday. Bilingual in English and Hindi, this amateur bodybuilder prides himself on his forward-thinking sense of style. While he has already traveled the world solo, hopes to backpack around Europe in the near future.. Aamir Khan (actor) Ajmal Ameer",5'9 (175cm),195 lbs (88kg),Brown,Black,,Bachelor,Chemistry,East Indian,,,,synthetic,1731175358.82378
"For the most part, tri-lingual cutie. outgoing and sociable, has a fondness for getting to spend time with his family and friends, whether playing sports, watching movies, or even traveling. this tri-lingual cutie with deep brown eyes stays in outstanding shape and is always nicely dressed. he’s these days attending school to become a therapist, a perfect occupation for someone with his passion for helping others and zest for learning. remarkably dedicated to his studies, all his hard work paid off when he was accepted into his master’s program, one of his proudest accomplishments to date.. ahsan khan naveen andrews",5'9 (175cm),182 lbs (83kg),Black,Black,,Master,"Biochemistry, Molecular Biology",East Indian,Presbyterian,,,synthetic,1731175358.824415
"By nature, family-oriented. sweet, polite, and funny, is proud to declare how much he is devoted about his mother. a impressive-looking, 6’2” math whiz who can speak four languages, this three-sport athlete has found time to travel to japan, singapore, and india. he counts traveling among his favorite hobbies, and is especially close to his family. he appreciates the love and attention his family gave him, and now works hard to return the favor and make his family proud.. humayun saeed m night shyamalan",6'2 (188cm),209 lbs (95kg),Brown,Black,,Master,Biotechnology,East Indian,Islam,,,synthetic,1731175358.824971
"Family First PhD. We should probably call this donor “Dr. Donor” since he has a PhD in chemical engineering! describes himself as extremely driven, and that’s an understatement. In addition to his demanding job, he is also a serious athlete who played in the National College Cricket Association. He has thick black hair and beautiful skin, but his smile is the real standout. When he's not involved (in biofuels and green energy), this donor focuses on family. He adores his parents so much that he even bought them a house!",5'10 (178cm),164 lbs (74kg),Brown,Black,,Postgraduate,Computer Science,East Indian,,,,synthetic,1731175358.825432
"Typically, as a person, bollywood dreamer. a popular teen model, this trilingual (english/hindi/telugu) software engineer grew up to be a charming, bollywood movie-star handsome man. not surprisingly, his beautiful raven-black hair, gentle brown eyes, and sweet smile—along with his serious acting chops, mad dancing skills, and dreamy deep voice— have led him to roles in several short films and two feature films. gifted athletically, excels at enotablything from ping pong and hockey to football, and his favorite sport, cricket.",5'10 (178cm),147 lbs (67kg),Brown,Black,,Master,Hospitality Management,East Indian,Hindu,,,synthetic,1731175358.8258948
"By nature, in general, outgoing optimist",5'9 (175cm),189 lbs (86kg),Black,Dark Brown,,Master,"Business, Finance, Information Systems and Mgmt",East Indian,Hindu,,,synthetic,1731175358.826286
"In general, primarily, multilingual marvel. thanks to his friendly manner, big-hearted love of animals, and fluency in english, arabic, hindi, bengali, and urdu, finds it easy to make friends wherever in the world he roams. growing up in southeast asia, was encouraged to pursue his passion for sports and academics, areas in which he excels today here in the u.s. inspired by his intense interest in math, science, and technology, this adventurous app developer is finishing his bs in computer science with a 3.8 gpa.",5'10 (178cm),168 lbs (76kg),Black,Black,,Postgraduate,"Bioengineering, Chemical Engineering",East Indian,,,,synthetic,1731175358.826667
"Typically, optimistic engineer. it takes a special person to move to a new country alone, get a master’s in computer science, and become a successful data engineer — and that’s exactly what did. of east indian descent, he has curly black hair, high cheekbones, and a warm smile. he speaks three languages (english, hindi, and punjabi), has a fondness for singing and writing poetry, and stays active with cricket and soccer. he has an unwavering positive outlook, and dreams of one day spreading a message of unity to the world.",5'5 (165cm),191 lbs (87kg),Brown,Black,,Bachelor,Electrical Engineering,East Indian,Sikh,,,synthetic,1731175358.827091
"Characteristically, chill social worker. strikingly handsome with a smile that lights up a room, is the guy at parties who goes out of his way to make newcomers feel welcome. a real people person, his outgoing nature, vibrant personality, and profound sense of empathy are a perfect fit for his career as a social worker. with an m.s. in social work in hand, he has dedicated his life to helping those in need. his slim, athletic build comes from years of practicing martial arts, specifically muay thai and wing chun.",5'9 (175cm),166 lbs (75kg),Black,Dark Brown,,Bachelor,Hospitality Management,East Indian,Buddhism,,,synthetic,1731175358.827443
"By nature, characteristically, for the most part, smart and sweet. close with his family and eager to succeed, is a delightful young man. an outstanding engineering student with excellent math and mechanical skills, he is focused on remaining tied to his indian heritage through cricket, home cooked meals, and music and movies from india. his goal is to complete his education in the us and return to india to reopen his father's factory. honest and straight-forward, he has worked hard to become a man his family can be proud of after being something of a difficult teenager.. aziz ansari",5'10 (178cm),180 lbs (82kg),Brown,Black,,Postgraduate,Electrical Engineering,East Indian,Hindu,,,synthetic,1731175358.827828
"For the most part, multilingual marvel. thanks to his friendly manner, big-hearted love of animals, and fluency in english, arabic, hindi, bengali, and urdu, finds it easy to make friends wherever in the world he roams. growing up in southeast asia, was encouraged to pursue his passion for sports and academics, areas in which he excels today here in the u.s. inspired by his intense interest in math, science, and technology, this adventurous app developer is finishing his bs in computer science with a 3.8 gpa.",5'7 (170cm),175 lbs (79kg),Brown,Black,,Master,Electrical Engineering,East Indian,,,,synthetic,1731175358.828191
"Health Enthusiast Engineer. has thick black hair and cute dimples that are always showing since he's constantly smiling. An engineer with an M.S. in computer science, he describes himself as fun-loving, patient, and humble. He's committed to fitness, both mental and physical, and does high intensity training multiple times a week. In his downtime, you’ll find this donor playing with his beloved pets. In fact, he’s such an animal lover that he once caught a venomous snake in a village, then brought it to the forest and set it free!",5'9 (175cm),195 lbs (88kg),Black,Black,,Master,"Business, Finance, Information Systems and Mgmt",East Indian,Roman Catholic,,,synthetic,1731175358.8286111
"Primarily, family-oriented. sweet, polite, and funny, is proud to declare how much he is committed about his mother. a impressive-looking, 6’2” math whiz who can speak four languages, this three-sport athlete has found time to travel to japan, singapore, and india. he counts traveling among his favorite hobbies, and is especially close to his family. he appreciates the love and attention his family gave him, and now works hard to return the favor and make his family proud.. humayun saeed m night shyamalan",6'2 (188cm),182 lbs (83kg),Brown,Black,,Master,"Philosophy, Psychology",East Indian,Islam,,,synthetic,1731175358.829152
"Family-Oriented. Sweet, polite, and funny, is proud to declare how much he cherishes his mother. A excellent-looking, 6’2” math whiz who can speak four languages, this three-sport athlete has found time to travel to Japan, Singapore, and India. He counts traveling among his favorite hobbies, and is particularly close to his family. He appreciates the love and attention his family gave him, and now works hard to return the favor and make his family proud.. Humayun Saeed M Night Shyamalan",5'7 (170cm),157 lbs (71kg),Brown,Black,,Bachelor,Business Management,East Indian,Islam,,,synthetic,1731175358.829584
"Overall, as a person, primarily, chill social worker. strikingly handsome with a smile that lights up a room, is the guy at parties who goes out of his way to make newcomers feel welcome. a real people person, his outgoing nature, vibrant personality, and profound sense of empathy are a perfect fit for his career as a social worker. with an m.s. in social work in hand, he has dedicated his life to helping those in need. his slim, athletic build comes from years of practicing martial arts, specifically muay thai and wing chun.",5'10 (178cm),182 lbs (83kg),Black,Black,,Master,"Biological Sciences, Social Work",East Indian,Buddhism,,,synthetic,1731175358.829947
"For the most part, for the most part, quadrilingual architect. is enthusiastic about his career as an architect. he’s had a lifelong creative streak and drawing has always been a favorite pastime, from doodling to designing buildings! this smart cookie has an m.s. in architecture (3.7 gpa) and can even speak four languages fluently. to stay in shape, he takes pleasure in tennis, yoga, and weightlifting. he also takes pleasure in quality time in the great outdoors, such as hiking or strolling through parks. with doe eyes and an empathetic personality, he’s as caring as he is handsome!",5'10 (178cm),162 lbs (73kg),Black,Black,,Master,Computer Engineering,East Indian,Hindu,,,synthetic,1731175358.830485
"Characteristically, family first phd. we should probably call this donor “dr. donor” since he has a phd in chemical engineering! describes himself as extremely driven, and that’s an understatement. in addition to his demanding job, he is also a serious athlete who played in the national college cricket association. he has thick black hair and beautiful skin, but his smile is the real standout. when he's not employed (in biofuels and green energy), this donor focuses on family. he cherishes his parents so much that he even bought them a house!",5'10 (178cm),191 lbs (87kg),Black,Black,,Master,"Bioengineering, Chemical Engineering",East Indian,,,,synthetic,1731175358.830922
